"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Liechtenstein","Switzerland","Spain","Portugal","Germany","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Namibia","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Brunei","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Fiji","Samoa"
"Kenya",109.399,2.0735,0,0,9,0,0.086,0.133,0.1349,0,9,0,0,0,0,0.4081,0.017,14.148,0,0,9,0,0,0.0309,0,0,0,0,0.118,14.4059,0.1496,0,0,4.021,0,43.3175,11.4294,16.5302,30.6358,1.8242,63.6911,0,3.5624,9.1935,3.9235,8.1026,0,0,1.687,9.9386,2.579,1.5689,37.927,1.3166,0,0.906,5.4296,0.3496,0,3.008,10.2681,16.7025,2.1665,1.593,8.6639,0.0202,0,0,0,0,0,0,0.0123,0.0001,0,0,1.9687,0,0,0,0.0005,0,0,0.0294,3.3164,0,0,0,0.0037,16.5578,209.3795,0,7.7718,5.4813,47.64,18.0246,0.8328,18.867,6.2667,0.9275,5.018,4.9808,3.4925,6.602,0,0,0,0,2.2829,0,17.1831,3.8037,0,0,0.4604,0,16.874,13.736,2.573,0,22.91,0,0,0.8506,0.027,45.2443,0,2.1929,0,0.972,0.229,0,149.542,2.8529,9,14.6601,0,0,0,11.541,222.4236,11.0615,0,75.7564,1.4953,0,2.0019,0,0,1.2167,0,0,0,31.5014,4.8667,0,4.3902,6.777,1.5008,0.0063,0.1582,9,0,0,9
"Tanzania",0.5544,19.0928,0,0,0,9,0.0205,0.0051,0.0137,0,9,0,0.0052,0,0,0.0385,0,0,9,0,0,0,9,0,0,0,0,9,0,2.7428,0,0,0,5.5112,0,128.5349,25.8735,22.7683,17.0639,1.0161,31.1195,0,9.9297,1.9429,17.5193,47.8047,0,0,0.041,0.613,0.487,1.4347,44.677,0.0463,0,3.7377,0.8263,0.0492,0.0959,0.2974,0.9802,7.4764,29.5408,12.2737,25.0102,0.0134,0,0,0,0,0,9,0,9,0,0,0.0051,0,0,0,9,0.0103,9,0,1.951,9,0,0,0,0.2146,3.5426,7.7718,0,2.8039,5.429,0.688,0.6246,0.2102,0,0.5844,2.9659,2.8958,0.9421,0,0,0.0051,0.1384,2.5429,0.443,0,0.4413,0.0749,0,0,3.5238,0.0205,2.6126,43.3414,6.9554,0.0769,9.2347,0.0154,0.0051,0.0016,0.0205,4.7374,0,0.2512,0,0.8459,1.9071,25.039,43.428,84.6528,0,15.2301,0,16.2364,0.6316,2.1642,60.5254,12.2731,0,12.2807,2.8012,0.0284,0.0564,0,0.0521,1.0093,0,0,0,3.3773,10.3954,0,2.2029,4.2071,6.7209,0.0084,0.5178,0,0,0,0
"Burundi",5.8024,0.1954,0,0,9,9,0,9,9,0,9,0,0,0,0,0.021,0,9,9,9,9,0,9,0.0083,9,9,0,9,0,0.612,0,0,0,0,9,2.9094,0.2712,1.8878,2.133,0.127,13.0297,0,1.0347,0.7079,1.1504,3.5391,0,0,0,1.8675,0,0.2553,5.6268,0,9,0.194,0.1128,0.0249,0,0.0304,0.0804,3.0101,0.1588,0.3373,1.3269,0,0,9,0,0,0,9,0.0842,0,0.0081,0,0.0257,0,0,0,0,0,9,0,0.0027,0,9,9,0,0.8395,0.7611,5.4813,2.8039,0,0.8769,0,0.6166,0,9,0,6.6252,4.9786,1.2233,0,0,9,0,0,9.0402,0,0.0182,9,0,0,0.6323,0,0,29.3497,0.177,0,0.057,0,0,0,0,0.0174,0,0,0,9,0,9,1.6142,0.2523,9,8.1218,0,0.7936,0.0777,1.7477,14.0974,5.2999,0,0.7123,0.6324,0,0.0088,0,9,0.095,0,0,0,0.063,0,0,0.0005,9,0.1174,9.0012,0.0066,0,0,0,9
"Rwanda",28.9,1.5041,0,9,9,0,9,0.0052,0,0,9,0,9,0,0,0.0019,0,0,0,9,0,0,0,0.0801,0,0,0,9,9,0.76,0,9,0,0.05,0,2.756,2.1363,1.2151,28.5217,1.6983,19.5364,0,4.3667,0.1604,0.6346,3.3776,0,0,0,1.747,0,2.76,1.6753,0,9,0.17,0.5197,0.145,0,0.05,0.27,0.1726,0.2542,0.08,0.9413,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147,0.0926,0,0,0,0,2.0001,2.4071,47.64,5.429,0.8769,0,0,0,0,9,0,0.0899,1.1611,0.746,9,0,9,0,0,0,0,0.0027,0,0,0.01,0.004,0,0,0,0,0,0.05,9,9,0,0.02,1.11,0,0.61,0,0,9,9,1.63,0.0078,9,3.2606,0,0,0,2.37,17.5695,3.38,0,2.6529,0.0119,0,0,9,0,1.62,9,9,0,0.0421,3.204,0,0.001,0.63,0.01,9,0.0007,0,0,0,0
"Somalia",12.65,2.8135,0,0,0,0,0.0019,0,0,0,0,0.0095,0.0015,0,0,0.0011,0,0,0,0,0,0,9,0,0,0,0,9,0,1.3057,0,9,0,0.0033,9,22.3989,0.0226,4.0386,8.2394,0.4906,5.5788,0,0.6303,9.9202,2.4129,17.954,0,0,0,1.2785,0,0,78.3047,2.2714,0,0.8635,10.3769,0.1195,0,0,0.0696,2.1565,2.3778,30.6566,2.5057,0,0,0,9,0,0,0,0,0,0,0.0019,0,0.3319,0,0,0,0.0075,9,0,0,0,0,0.0021,0,0,0.1216,18.0246,0.688,0,0,0,22.8488,0,0,0.3787,0,0.0616,0.0204,0,0,0,0,0.0321,1.0933,9,0.0005,0,0,0,0.0422,0.029,0.1982,0,0.503,0,0.4965,0,0,0.8915,9,20.5015,0,27.167,0,0.0818,0,0,18.2761,0.1576,0.0017,8.6725,0,0.6605,9.1309,0.9484,8.7337,0.0392,0,2.1726,0,0,0.0184,0,9,19.148,0,0,0,2.8749,2.6103,0,0,0,0.0478,9,0,0,0,0,0
"Djibouti",6.9941,0.5683,0,0,9,9,0,0,0,0,0,0,0,0,0,0.076,9,0,0,0,0,9,0,0,0,0,0,0,0,0.01,0,9,9.422,9,0,5.3102,0.8103,6.0155,5.7761,0.3439,62.3572,0,3.0666,0.4198,0.1167,3.1546,0,0,0,1.2772,9,0.5013,8.6047,0.2194,0,0.4987,0.2176,0.1329,9,0,9.6808,0.1029,0.4517,0.2823,3.4942,0,0,0,0,0,0,9,0.0004,9,0,9,0.0881,9,0,0,9,9,0,0.0184,0.0032,0,9,0,0,0,0,0.8328,0.6246,0.6166,0,22.8488,0,9.7718,0,9,9,0.0019,0.0805,9,0,0,0,0,0.0167,0,0.0246,0,0,9,2.16,9,0,0,0.055,9,0.3627,0,0.6189,0.0011,0,9.4619,0,20.4379,0,0,14.2948,9,14.5368,0.4967,9,4.6655,0,2.555,9.3545,4.1728,11.5855,2.5412,0,0.9734,9,0,0.136,9,0,6.4008,0,9,0,0.2247,5.1778,9,0,9,0.1399,0,0.0231,0,0,0,0
"Ethiopia",15.403,4.2674,9,7.4511,9,9,0.015,0.0064,0,0,0,0,9,0,0,0.1841,0,0,9,0,0,0,0,0,0.0188,0,0,0,0,1.6031,0,0,9,0.046,9,46.6527,2.309,21.0652,14.9215,0.8885,9.6997,0,18.2138,3.6271,0.0854,55.1643,0,0,1.629,4.8291,1.916,9.4503,144.6354,2.6451,2.508,8.934,11.9565,0.1586,0.785,0.6796,127.9869,3.9166,18.9839,4.0291,8.5249,0.0448,0,9,9,0,0,9,0.0224,0,0,0,0,9,9,0,0,0,0,0.011,0.0384,0,0.9416,0,0,0,0.0011,18.867,0.2102,0,0,0,9.7718,0,9,0,0.0061,1.2454,0.0008,0.01,0,0,9,0,0.0047,9,0.0022,0,0,0,0.1583,0.004,0.2882,0,1.907,0,1.684,0,0,12.7156,1.957,8.3694,0,40.9524,0,0.088,0,0,2.839,0.0208,0,7.696,0,0,2.2227,12.48,20.2709,26.4262,0,0.4645,10.414,0,1.949,0,9,0.2963,9,0,0,0.3786,3.0996,0,0.001,0.4267,0.9753,0.0046,0.3748,0,0,0,0
"Angola",1934.7299,43.7309,0.632,9,0,9,0.007,14.2106,0,0,9,0,9,0,0,2.0669,0.0165,9,0,0.094,9,0,0,0.0101,0,0,9,0,0,48.774,0,0,31.7,24.7478,2.4763,48.2414,2.0553,83.3768,232.1563,13.8237,356.8797,0,37.7943,56.5276,362.7331,158.3148,0,0,0.9092,2.9528,1.564,2.0219,29.8666,0.7965,0,227.1462,0.428,0.0041,0,0,9,2.4702,22.4402,6.6309,22.4213,0,0,0,0.0013,0,0,0,0.3556,9,9,0,0.7379,0,0,0,9,0.0041,12.75,0.6802,0.2393,0,9,0,3.3133,0,0,6.2667,0,9,9,0,0,9,0,0.1032,0.9143,12.5394,0.0238,0,0,0,0,9,0,9,0.0001,0,0,0,2.3527,0,0,0,0.411,0,0,9,0,0.0013,0,0,0,0,0,0,0,9,0,9,0,30.5027,0,2.244,0,24.9942,20.8037,0.4315,0,0,9,0,0,0,0,11.8994,0,0,9.0187,1.3171,0,9,2.5409,1.7189,1.2925,0,0.13,0,0,0,9
"Mozambique",26.43,20.6972,0,9,9,0,0,0.0078,0,0,9,0,9,0,0,3.069,0,9,0,0.06,0,0,9,0,0,0,0,0,0,14.6542,0,0,0,0.1265,0,33.5095,0.587,22.7511,12.024,0.716,24.1939,0,6.2847,2.6511,31.9513,45.2844,0,0,0,0.7943,0,0.3063,73.7334,0.081,0,0.0712,0.0239,0.3636,9,0.11,0,12.0696,14.437,3.3157,23.5237,0.0984,0,0,0.1597,0,0,0,0,9,0,0,28.7857,0,9,0,9,0.0019,0,0.1656,0,0.0259,9,0,1.5904,0,0,0.9275,0.5844,0,0,0.3787,9,0,0.1032,0,0.0594,60.6207,0.3947,4.4338,0,0,9,0,5.6202,0,0.0483,0,0,0,0.3695,0,0,0,0.113,0,0.1364,0,0.4325,0,0,69.9643,0,0,0,5.3572,0,9,28.7074,0,0,45.954,0,1.9508,9.789,1.0813,26.8977,7.2336,0,0,4.251,9,0.0582,0,0,69.678,0,0.075,0,21.2857,52.0241,0,20.2473,0.7387,2.9378,9,0.9693,0,0,0,0
"Zambia",95.0617,8.3651,0.0052,0.0001,0.2867,0,0.0024,0.0028,0,0,0.0003,0,9.0022,0,0,1.5509,0,0.0518,0.0052,0,0,0,0,0.0065,0,0.0741,0,0.0122,0,0.4646,0.0049,0.0002,0.0775,0.0076,0.0003,163.1987,1.066,11.3471,70.1433,4.1767,176.8801,0,8.4415,1.1361,2.0958,113.6047,0,0,0.0005,0.9089,0.0243,0.7289,69.5873,0.6587,0,1.433,8.2716,0.1403,1.6665,0.0791,0,21.6716,16.687,2.9662,10.7593,0.0086,0,0,0,0,0.0012,0.0002,0.0003,0,0.0014,0.0001,0,0.0008,0,0.0214,0,0.0045,0,0.0001,0.0931,0.0007,0.0019,0,0,1.6376,0.1224,5.018,2.9659,6.6252,0.0899,0,9,0.0061,0.9143,0.0594,0,46.2195,13.8682,203.8094,0.2977,0.1586,6.2561,7.9111,65.658,9,0.3036,0,0,20.1319,10.7005,0.6136,0,34.5854,0.0049,0.2103,0.0237,0.0004,0.0721,0.0002,2.9211,81.0914,0,0,0,33.1705,0,0,0.6691,22.8557,0,3.0709,0.0277,3.3837,0.2878,3.2658,352.5685,77.6275,0,0.5989,10.8998,0,0.0961,0,9,84.5273,0.0054,0,0.0082,60.0238,39.3296,0,1.5997,30.2841,0.9537,0.0023,0.2199,0,0,0.0004,0
"Zimbabwe",8.8256,0.1799,0.0411,0.011,0,0,0.0058,0.1003,0.068,0.1904,0.0124,0,9,0.0438,9,20.4818,0.0007,0,0.0382,0.0374,0.0227,0.0074,0.0461,2.921,3.777,0,0.0058,0.3115,0.7246,13.6152,0.0017,0,1.0318,1.7292,0.1712,59.5455,4.0972,9.8748,9.9193,0.5906,8.6552,0,15.7742,16.9181,39.3832,63.0585,0,0,0.2679,7.4972,0.4263,2.7669,39.1192,0.0003,0,12.3531,5.7159,0.6978,3.3425,0.6407,1.4544,6.0479,14.9335,0.4774,1.083,0.0271,0,0.0085,0.0114,9,0,0.0345,0.4721,9.0004,0.0025,0.1025,6.5463,0.0272,0.0547,0.0005,0.0524,1.1735,0.0049,1.1913,0.0624,0.043,0,9,1.6087,82.4002,6.2989,4.9808,2.8958,4.9786,1.1611,0.0616,0.0019,1.2454,12.5394,60.6207,46.2195,0,49.1083,265.7663,1.0262,1.9937,22.6418,10.0764,0.0547,0,2.7287,0.0586,0.0203,2.4654,1.9055,0.4266,0.568,0.7992,1.9055,2.7448,14.8453,0.0094,0.0912,33.0177,9.5057,0.1777,0,0.0201,0,0.0004,0,0.2313,0.1705,0.306,0,11.7853,0,14.4109,0.8209,4.7537,64.3184,1.0752,0.0032,0.6511,2.3354,0.0011,2.1412,0.1751,0.0237,1.6733,0,0.0004,2.413,9.8742,1.0855,0.0004,14.0969,10.0313,40.1541,0.0102,2.0996,9,0.0231,0,9.0111
"Malawi",40.3058,1.9675,0,0,0,9,0.0361,0.0265,0.0364,0.0165,9,0,0.0015,0,0,5.8828,0.0515,0,0,0,9,9,0,0,0,0,0,9,0,1.314,9,0,0,0,0,89.1046,0.4664,2.2373,0.5097,0.0303,1.2234,0,1.3852,2.736,5.5814,10.964,0,0,0,0.9898,0,0.105,13.2959,0.0079,0,0.328,1.7035,0.0017,0,0,9,1.637,1.6555,0.0585,0.8195,0.0171,0,0,0,0,0,9,0.2948,9.0535,0.2044,0,0.1212,9,0,0,0.4251,0,0,0.0073,0.0012,0.362,0,0,0.0073,1.0773,0.0209,3.4925,0.9421,1.2233,0.746,0.0204,0.0805,0.0008,0.0238,0.3947,13.8682,49.1083,0,149.3091,9.167,0.136,1.8132,1.9787,0.0093,0,0.2335,0.0375,0,0,1.2401,0,0.0023,0.001,0.8439,0,3.111,0,0,0.5809,0.6771,0.016,0,0,0,0,0,0,0,0,0,0,0,0,9,1.2,4.8497,4.7714,0,6.4636,0,0,0.0098,0,0,0.0432,0,0,9,5.3962,0.5197,0,0.8615,0.7075,7.8924,1.1173,1.3329,0,0.0406,0,0
"South Africa",19.6,23.7249,0,0,0,4.9714,0,0.0266,0,0,0,0,9,0,0,12.2385,0,7.4508,0,0.246,0,0.0108,1.0388,1.292,0,0,0,10.5489,9.6707,65.8231,0.5601,4.9752,19.8,63.413,0.028,67.9246,17.0348,44.4546,258.6677,15.4023,240.9193,0,45.8637,310.1769,140.2168,1222.5045,0,0,0,40.7464,0,0,1852.15,0.1474,9,0,0,0.0664,0,0.8,0,0.7972,9.5728,20.5402,15.0082,0,0,0,0,0,0,0,0.0001,9,9,0,3.8566,0,0,0,0,0,0,0,0,0,0,0,2.6261,25.5027,0,6.602,0,0,9,0,9,0.01,0,4.4338,203.8094,265.7663,149.3091,0,0,0,0,0,0,0,136.1841,25.1644,0,0,8.7756,0,0,0,253.301,0,0,9,0,0,127,19.7009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.5037,0,0,0.2251,0,0,71.0557,0,9,0.0504,9,0.6652,0,1.9442,0,0,0.346,0.5811,8.5326,1.8458,4.3132,9,0.0622,0,0
"Namibia",11.1,10.0238,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0.1089,0,0,0,0.152,0,0,0,0,0,7.1527,0.598,23.3728,17.1206,1.0194,17.7741,0,277.7701,2.2828,2.142,3.4913,0,0,0,2.0898,0,0,5.5863,0.0132,0,0,62.9648,0,0,0,9,0.4602,0.1386,0.1166,0.2461,0.0424,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0.0783,0,5.2707,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2977,1.0262,9.167,0,0,0,0,0,9.0013,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0.0254,0,0,0,0,0,0,0,0,0,1.5989,0,0,0,0,0,0.0941,0,0,0,0.4485,0.0227,0,0,0,0,0,0,0.0283,0,0,0,0,1.2836,0,2.7357,0,0,0,9
"Lesotho",22.3,2.1808,0,0,0,0,0,0.0262,9,0,0,0,0,0,0,0,0,9,0,0,0,9.8791,0,0.0503,0,0,0,0,0,9.024,0,0,0,0,0,1.1345,0.0536,0.2847,1.293,0.077,12.1147,0,0.0145,1.2063,0.0766,2.0933,0,0,1.4948,1.4991,0,0,1.4106,0,0,0.081,0.0579,0.0069,0,0,9,0.9035,0.3403,0.0581,1.683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0187,0,0,0,0,0,0,0,0,0,0,0.0051,9,9,0,0,0,0,0,0.1586,1.9937,0.136,0,0,0,0,0,9.0161,0,9.0214,0,0,0,0.8028,9,9,0,9,0,0,0,0,0,0,0.0385,0,9,0,0,0,0,0,9,0,0.04,0,0,0,0,1.0396,2.7452,0,2.5975,9,0,0.0068,0,0,0.0674,0,9,0,0.0015,0,0,0.001,0,0.2831,0,9,0,0,0,0
"Botswana",4.8,1.9967,0,0,0,0,0.0021,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.0956,0,0,0,0,9,1.652,9,0,0,0.298,0,9.678,0.3251,5.42,4.0489,0.2411,4.4214,0,16.7337,0.2759,0.2043,6.2843,0,0,0,0.4081,0,1.5373,5.578,0,0,8.323,0.037,0.0965,0,9,0,0.8594,11.878,102.748,1.2589,0,0,0,0,0,0,0,0.0002,0,0,9,2.9824,0,0,9,0,0.0036,0,0,0,0.0018,0,0,0.0037,0,0,0,0.1384,0,0,0,0,9,0,9,6.2561,22.6418,1.8132,0,0,0,0,0,9,9,0.0921,0.0187,0,0,0.9357,9,0,0,0,9,0.001,0,0,9,0,1.228,0,0,0,0,0,9,0,0.1925,0,1.3049,0,0,0,0,22.377,0.719,0,2.0191,9.0287,0,0.0002,0,0,0.9836,0,0,0,0.0318,8.4695,0,0,0,8.4757,0,0.2031,0,9,0,0
"Swaziland",26.3,25.7641,0,0,0,0,0,0.0095,0,0,9.0105,0,9.0011,0,0,0,0,0,0,0,0,0,0,0.1078,0,0,0,0,0,9,0,0,0,0.027,0,55.1218,5.2389,2.5882,7.6165,0.4535,40.2298,0,7.8421,0.0102,9.4091,5.8241,0,0,0,0.2516,0,0,2.3988,1.7703,0,3.809,9.0102,0.0178,0,0,0,7.4917,3.8978,1.0468,0.2496,0.2979,0,0,0,0,0,0,0.0004,9,0.0088,0,1.5206,0,0,0,0,0.0006,0,0,0.2291,0.1107,0,0,0.1873,0,9,0,2.5429,0,0,0.0321,0,0,9,0,7.9111,10.0764,1.9787,0,0,0,0,0,9.0013,0,1.2631,0.1124,0,0,0.1866,0,0,0,9,9,0.992,0,0,0,0,36.6144,0,9.828,0,0,9,9,0,0.1196,0,0.0161,0,0,0,7.2,1.084,1.5856,0,0.0387,3.0579,0,0.0125,0,0,33.0155,0,9,0,3.9159,0,0,0.0278,0,2.7965,9.0023,0.5589,0,0,0,0
"Madagascar",28.4777,0.6839,0.0979,9,0.0025,0,0,0,0.0023,0,9,0,9,9,0,0.0445,0,0,0,0,0,0,9.4123,0.0001,0,0,9,9,0,5.0816,9,0,0,0.012,0.006,5.5175,0.485,6.578,0.2737,0.0163,79.1192,0,6.7093,3.7396,7.772,0.684,0,0,0.8053,3.768,0.8268,0,4.9292,0.0331,9,0.3966,1.1371,0.0067,0,0.9371,0.66,0.0851,0.7535,0.0239,0.806,0,0,0,0,9.0007,0,0.0744,0.0814,0.002,0.4893,0.0074,3.1384,0.0589,0,0,9,0,0.0067,0.008,0,0.0015,0,0,0,0.019,0,2.2829,0.443,9.0402,0,1.0933,0.0167,0.0047,0,5.6202,65.658,0.0547,0.0093,0,9.0013,9.0161,9,9.0013,0,2.5362,6.8931,0.0562,0.3818,0.0017,1.9286,1.4,0.0015,16.9624,0.017,0.0936,0.0127,0.0161,0.0088,0,0,1.363,0,0,0,0,0,0,0,0.3475,0,5.4951,0,1.4519,0,3.0218,5.0413,3.273,0,0.2568,0.5821,0,0,0,0.0006,9.2538,0,9,0,1.8533,19.8555,9,0,1.733,0.2426,9,0.0345,9,0,0.0067,0
"Comoros",4.8,0.0019,0,9,9,0,0,0,0,0,0,0,0,0,0,0.1793,0,0,0,0,9,0,0,0,0,0,0,0,0.0044,0.0902,9,9,9,0,0,0.3901,0.1114,2.3044,9.6551,0.5749,38.8228,0,0.0621,0.0468,0.4624,3.1406,0,0,0,0.0406,9,0,1.6186,0,0,0.012,0.0103,0,9,0,9,0.0018,1.6054,0,0.0033,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,9,0,0,0.0219,9,0,0,9,0,0,0,0,0,0,9,0,9,9,0,9,0,0,0,0,0,9,0,2.5362,0,1.7931,0,0,0,0.0007,0,0,9,0,0,0,0,9,9,9,0.0987,0,9,0,0,9,0,9,0,0,0.0431,0,0.0421,0,0.0533,4.0381,0.2272,0,0.4992,9,9,0,0,0,0,0,0,0,0.2668,2.9711,0,0,0.035,0.1227,0,0,0,0,0,9
"Mauritius",77.9675,5.0415,0.0044,0.0004,0.0068,0,0.0224,0.0054,0.0001,0.0043,0.0035,0,0,0.0001,9.0056,0.0242,0,0.0001,0.0751,0,0.0774,0.0679,0.7359,0.8111,0.0027,0.0014,0.0001,0.0054,0.0066,7.78,0,0.3997,0.7106,6.0945,0.002,309.7908,3.7273,8.1442,6.9841,0.4159,38.7493,0,20.0567,1.3138,13.5603,6.9875,0,0,0.1914,1.0468,0.6008,0.3851,20.5577,0.2082,0.0002,0.173,11.0308,0.0232,0.0908,0.1636,0.3819,3.5719,5.4313,16.5812,0.3053,0.0987,0,0.0002,0,0,0.0004,0.0052,0.01,0.0097,0.005,0,24.6964,0.0122,0.2129,0.0037,0,0.015,0.0387,1.4008,0.0057,0.0345,0.4097,0,0.0456,0.4558,0.0407,17.1831,0.4413,0.0182,0.0027,0.0005,0.0246,0.0022,0.0001,0.0483,0.3036,2.7287,0.2335,136.1841,0,9.0214,0.0921,1.2631,6.8931,1.7931,0,3.8766,1.8676,0.006,9.7266,0,0.1666,0.0635,0.5626,0.8848,1.9168,0.0054,0.0006,1.3515,4.6691,6.1292,0,0.6464,0,27.7643,53.8505,0.0003,1.7296,0.0156,0,57.4643,0,73.4628,2.1257,23.7625,92.8005,62.1878,0,25.4271,0.0089,3.5718,0.5954,0,0.0003,17.0766,0,9,0.0581,28.4076,34.6497,0.0045,1.5557,12.5298,36.4132,0.0007,21.9867,0.0592,0,0.0193,0
"Seychelles",2.9477,0.0493,0,0,0,9,0,0,0.0001,9,0,0,9,0,0,0,9,0,0,9,9,0,9,0,0,0.0187,0,0,0,0.1051,0,9,0,0.0187,0,11.684,0.1662,3.2888,0.991,0.059,14.3377,0,0.5459,1.2407,0.0562,5.0557,0,9,0,0.024,0,0,29.8688,0.015,0,0.007,0.0375,0.0187,0,0,0.2623,0.0098,3.7662,0.0187,0.9898,0,0,0,9,9,0,0,0,0,9,0,0,0,0,0,0,0.0017,0,0,0,0,0,0,9,9,0,3.8037,0.0749,9,0,0,0,0,0,0,0,0.0586,0.0375,25.1644,0,0,0.0187,0.1124,0.0562,0,3.8766,0,0,0,0.0026,0,0,0,0.0077,0,0,0,0,0,9,0,0,0,0,16.2454,15.1399,0,0.2436,0,9,2.2298,0,0.8244,9,0.3185,10.8111,2.4921,0,0.2728,0,0,0.0605,0,0.0187,28.257,0,0,9,1.2693,18.5738,0,0.0375,0.1124,2.5296,0.0021,0.3747,9,0,0,0
"Morocco",316.6999,126.4227,0,0,0,5.211,0.0004,8.4567,0.006,0,9,0,9.0004,0,0,2.7026,0.0005,0,0,0.091,0,0.1811,0,3.118,0.7718,0.3567,0,0,2.428,90.9505,0.0108,0.659,0,21.2461,0.588,38.8311,13.8371,46.3068,29.1823,1.7377,302.9527,0,87.6007,150.256,8.9605,79.3716,0,0,56.9271,10.129,18.2159,6.1216,113.8099,1.4412,0,3.297,18.7505,0.2127,1.7247,8.0555,174.7666,8.5782,109.6014,26.7497,0.2928,0.4775,0,0,0,0,0,9.4742,3.0382,5.4154,1.8856,0.4444,14.0139,1.2742,0,0.2067,0.023,0,4.406,16.5255,7.8279,42.0742,183.5643,0,1.594,14.4842,0,0,0,0,0,0,0,0,0,0,0,0.0203,0,0,0,0,0,0,0.3818,0,1.8676,0,0,18.5427,29.9604,7.6642,0,37.1254,72.1405,146.6374,41.515,5.4869,0.7131,1.8709,9,64.6976,0,0.7372,0,52.0189,0,0,364.1287,0.5202,0,93.8419,0,25.618,9,20.1929,110.3661,205.0637,0,3.0093,15.7101,1.6859,2.6444,9,0,17.2512,0,9,0,0.9062,2.781,0,11.1867,32.094,7.6105,0,6.7661,0,0,0,0
"Algeria",1724.5111,258.467,0,70.019,0,0,0.0033,0,0,0,0,0,0,0,0,32.715,0,0,0,0,0,0,9.447,0.191,10.418,0,0,0,10.242,181.0834,0,58.1638,0,36.089,10.637,370.4813,15.603,875.815,126.3751,7.525,385.2835,0,97.2777,250.7673,295.3748,41.8375,0,0,31.2059,189.7684,107.7986,66.9079,1381.7124,12.5069,0.2585,83.153,20.4327,32.8377,9.1888,34.0427,64.693,44.8738,123.2438,13.7898,45.4715,0,0,0,0,0,0,0,0.0476,0.1425,19.6268,5.1274,3.1226,0,0.0184,0,0,0,0,1.4545,0.0114,21.873,0,0,0.0037,0,0,0,0,0,0.01,0,9,0,0,0,20.1319,2.4654,0,0,0,0,0,0,0.0017,0,0.006,0,18.5427,0,4.7043,0.9,0,15.157,81.314,2.2187,1.801,17.3486,0,0.0009,0,13.0382,0,0.0022,0,0,0,0,0,0.3017,0,21.0847,0,0,0,58.214,292.1698,5.3138,0,20.8791,1.161,0,0,0,0,5.8505,0,0,4.146,10.1112,10.7397,0,2.3319,75.0519,50.7983,9,55.073,0,9,0,9
