"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Solomon Islands","Fiji","Samoa"
"Chile",388.8,13.3,0.03,0,0.068,5.88,0,0.01,0.566,0,9,23.2,0.29,0.023,0.274,0.302,0.951,8.294,22.19,75.5,0.227,0.011,76.6,25.82,64.47,4.176,20.643,0,42.67,2.617,92.5,0.24,10.3,59.8698,2.6302,10.4,26.1,19.35,1,0,8.4,0,12.3,0,0,116.3,0.02,0,0.21,4.74,0,0,6.48,0,1.8,1,3.75,6.33,0.02,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,9,0,9,67.9,0,0,7.114,0,0,0,0,0,9,0,0,0,9,0,0,0,0,3.8,0,0,0,0,0,0.115,0,0.01,0,0.6,0,0,151.1,0.07,0,2.32,0,0,0,0.39,2.3,9,9,0.8,1.22,0.26,12.5,9,0,26.9,0,2.4,4.3,21.4,143.8,0.55,0,0.03,2.62,0,2.871,0,0,2.29,0,0,9,4.82,6.35,3.06,0.2,1.69,0,0.42,0,0,0
"Argentina",93.57,23.88,0.52,118.26,1.659,3.17,5.48,4.22,2.278,0,0.162,56.3,5.748,3.68,3.775,1.353,4.375,7.171,33.12,160.36,2.367,0.046,9.22,23.64,313.192,15.394,10.924,42.67,0,56.158,123.05,4.38,282.83,119.8353,5.2647,189.19,11.82,312.4,49.77,0,30.51,5.75,20.18,19.57,6.42,240.9,2.89,9.54,2.94,65.87,5.117,19.64,48.14,374.32,12.34,17.33,4.44,106,0.097,0,0,0,0,1.13,0.057,3.585,0.54,0.06,0,5.13,0,0.97,1.64,0.11,4.144,0.79,1.511,4.12,127.131,0.054,9,0.677,0.3,0,0.019,0.003,0.001,0,0.02,9,0.009,11.02,3.4,0.0273,0,0,11.45,0,0.04,9,0,0,0.102,0.02,13.77,62.03,9.36,4.8,3.197,23.87,0.66,8.1,24.83,4.9,17.33,9.87,36.19,14.55,0.53,1.93,3.78,0.03,0.07,1.49,0.16,0,86.95,0,49.55,6.57,17.4,198.13,21.23,0,0.27,4.7,0,7.84,0,0,2.47,0,9,17.51,4.89,5.32,3.53,6.77,19.92,0.02,0.96,0,0.003,0
"Uruguay",71.947,3.925,0.004,0,0,0.416,0.717,1.117,0.37,0,9,1.058,0.054,0.018,0.147,0.02,0.046,0.764,3.68,14.008,0.017,0.002,0.627,2.033,63.557,0.514,1.463,2.617,56.158,0,16.063,0.29,25.236,6.5521,0.2879,12.775,0.822,5.632,1.451,0,4.958,2.242,4.587,0.723,9.991,3.114,0.003,0,3.145,7.389,0.319,0.747,1.13,14.11,0.332,3.016,1.464,0.307,0.046,0,0,0,0,0,9,0,9.681,9,0,0.646,0,9,0,0.001,0.001,0,0,38.683,0.006,0,0,0.614,0.593,0.005,0.005,0.017,9,0,9,0,9,0,0,0,0,9,0.764,0,0,0,0,0,0.134,9,1.865,0,1.067,0.7,0,2.999,1.62,82.757,6.82,9.178,9.976,0,8.941,0.5,9,0,36.458,0,9,0.424,9,9,0.416,9,0.81,0,0.192,0.064,0.734,0,0.271,1.03,9,0.251,0,9,0.02,0,0,9,2.02,0.393,0.646,0.01,2.749,9,0.057,0,9,0
"United Kingdom",921.7998,551.4,153.92,37.7,4.962,11.26,72.352,188.56,46.592,3.032,2.224,110.9,20.976,14.402,18.281,7.791,23.777,13.525,46.11,291,32.413,13.152,38.72,17.73,115.074,28.557,19.45,92.5,123.05,16.063,0,410.23,1306.2998,559.519,24.581,1654.6001,205.5,88.13,34.9,0,79.8,605.69,132.6,63.23,21.5,1465.4,73.57,0.3,266.2,175.29,47.537,22,126.89,541,506.34,348.2998,1392,151.2,50.489,0,0.8,1.005,1.2,17.641,1.01,2.96,39.974,8.7,2.545,55.68,9.5,2.737,19.392,13.3,24.057,30.17,29.717,2264.3,9.936,0.016,9.9,3.627,158.6,34.153,161.662,119.391,1.924,1.317,23.023,14,32.61,46.3,4.6,22.0891,1.6,21.941,175.7,0.3,4.1,40.5,1.496,0.1,132.161,14.4,15.07,207.27,20.51,141.1,95.905,177.8,81.63,692.5,326.82,76.98,96.7,107.08,178.24,100.4,67.39,55.8,721.5,163.97,126.64,434.5,115.59,13.032,82.7,7.3,104.5,1.2,197.2,1074.8001,18.85,0,109.09,7.97,33.639,14.648,9.6,0.5,133.48,0.1,2.9,4.1,49.13,265.02,62.38,143.6,1078.8699,27.4,281.05,3.774,59.602,0.496
"Ireland",259.94,7.93,34.44,5.73,0.001,0.43,2.626,2.44,4.962,0,0.113,5.03,1.039,0.5,0.982,0.197,2.032,0.463,0.74,8.94,0.024,0.143,9.57,4.83,7.568,1.78,1.305,0.24,4.38,0.29,410.23,0,86.81,83.6644,3.6756,152.17,11.07,13.61,13.16,0,5.45,39.38,1.52,0.21,16.78,100.8,0.15,0,14.24,21.63,0.736,1.37,0.52,37.11,58.33,54.68,14.84,19.52,1.075,0,0,1.79,9.01,0.129,0.31,4.27,0.01,0,0.006,6.84,0.04,0.004,0.79,0.69,24.788,0.059,3.195,29.23,0.202,0.02,0.08,0.145,2.69,0.11,6.914,5.413,0.044,0.439,0.025,0,0.315,0.85,0.55,0.0327,0.01,4.415,5.12,9,0,0.23,0.028,0,0.859,0.1,2.7,12.64,2,33.36,0.156,15.87,7.42,77.84,7.4,8.05,1.84,1.51,13.17,69.81,0.005,1.23,24.02,0.03,0.41,0.38,1.06,1.25,4.7,0,0.76,0.3,14.85,149.07,21.02,0,2.6,0.31,0.02,3.166,0,9,8.86,0,9,0.24,7.83,1.78,0.26,0.75,30.74,1.92,17.28,0.8,0.017,0.5
"Netherlands",2847.6,141.2,47.16,12,2.294,9.75,10.343,18,5.371,0.418,1.081,26,14.126,1.528,8.468,1.942,14.827,0.724,144.99,177,0.319,16.439,0.49,0.49,229.466,4.291,10.725,10.3,282.83,25.236,1306.2998,86.81,0,352.418,15.4825,1094.5998,96,9.35,83.54,0,27,235.77,76.5,32.77,18.1,362.2,9.25,2.2,21.62,62.33,10.213,11.6,8.35,328.6,102.47,186.7,79.16,380.54,45.005,0,4.6,1.499,5.1,2.314,4.445,3.604,14.685,3.8,13.311,150.44,2.1,8.176,30.745,34.6,100.185,34.704,181.564,627.8,21.11,0.783,6.1,2.432,17.4,1.966,3.078,54.747,0.6,1.709,9.383,4.1,1.265,5.8,0.5,8.5664,0,8.545,14.2,10.3,9.1,10.9,6.708,0.1,0.157,1.3,23.04,120.98,11.41,88.3,42.469,1283.2,21.73,252.3,144.51,34.09,45,40.85,275.41,611.6,56.796,35.4,647.4,22.14,37.11,154.6,53.01,3.6,0.3,2.1,138.1,8.1,185.9,877.2,19.31,0,114.38,40.79,6.351,9.066,0,0.1,255.87,0,10.5,14.8,156.72,8.36,36.86,40.7,88.17,7.3,14.33,1.086,0.169,0.915
"Belgium",902.645,183.6326,3.027,31.4197,4.6938,15.5661,4.9428,4.0041,2.596,0,1.1878,37.0714,4.6459,0.8334,5.4601,9.4355,1.207,4.6459,29.6954,78.9324,1.6093,0.0766,0.3448,30.4713,77.5338,4.301,0.2682,59.8698,119.8353,6.5521,559.519,83.6644,352.418,0,0,425.5074,6.7054,83.4632,75.1006,940.6759,37.1672,86.8064,169.0722,62.9064,10.0581,69.449,15.9589,0.1916,61.8143,114.8637,7.0982,12.5487,53.2123,115.3332,19.8576,56.1339,21.8884,288.6298,10.7478,0.8621,0.2874,0.0479,0.0958,2.002,3.4868,9.311,3.9849,13.5066,2.9983,38.5466,12.8361,11.8494,45.7501,0.7663,0.6322,6.7341,2.548,25.5763,17.7119,23.0571,1.4369,3.9179,506.3547,6.6671,40.6444,29.2931,5.0578,26.7738,0.5556,2.9695,1.389,31.1323,6.1307,14.1101,0.0958,0.0287,179.3219,1.0537,10.4369,1.2453,4.0807,0.0958,5.9199,0.1916,24.6472,389.029,25.2028,42.6273,39.2554,498.7871,36.4487,89.7568,55.176,20.576,51.6317,23.1145,35.5387,1017.4991,6.533,2.2032,112.5552,6.6575,122.3355,148.4771,6.0253,3.4485,33.7187,9.0958,7.2802,2.4906,23.5648,462.5779,82.5245,0,12.6828,5.7762,3.5634,10.7191,9.0958,1.1495,70.9241,0,3.3527,25.0016,55.3484,13.6407,2.9312,5.1728,19.781,11.1118,54.994,0.5747,0.0671,0.0192
"Luxembourg",39.6554,8.0674,0.133,1.3803,0.2062,0.6839,0.2172,0.1759,0.114,0,0.0522,1.6286,0.2041,0.0366,0.2399,0.4145,0.053,0.2041,1.3046,3.4677,0.0707,0.0034,0.0152,1.3387,3.4062,0.189,0.0118,2.6302,5.2647,0.2879,24.581,3.6756,15.4825,0,0,18.6935,0.2946,3.6667,3.2993,41.326,1.6328,3.8136,7.4277,2.7636,0.4419,3.0511,0.7011,0.0084,2.7157,5.0462,0.3118,0.5513,2.3377,5.0669,0.8724,2.4661,0.9616,12.6802,0.4722,0.0379,0.0126,0.0021,0.0042,0.088,0.1532,0.4091,0.1751,0.5934,0.1317,1.6934,0.5639,0.5206,2.0099,0.0337,0.0278,0.2958,0.1119,1.1236,0.7781,1.013,0.0631,0.1721,22.2454,0.2929,1.7856,1.2869,0.2222,1.1762,0.0244,0.1305,0.061,1.3677,0.2693,0.6199,0.0042,0.0013,7.878,0.0463,9.0631,0.0547,0.1793,0.0042,0.2601,0.0084,1.0828,17.091,1.1072,1.8727,1.7246,21.9129,1.6013,3.9432,2.424,0.904,2.2683,1.0155,1.5613,44.7011,0.287,0.0968,4.9448,0.2925,5.3745,6.5229,0.2647,0.1515,1.4813,9.0042,0.3198,0.1094,1.0353,20.3221,3.6255,0,0.5572,0.2538,0.1566,0.4709,9.0042,0.0505,3.1159,0,0.1473,1.0984,2.4316,0.5993,0.1288,0.2273,0.869,0.4882,2.416,0.0253,0.0029,0.0008
"France",1603.5996,71.1,5.7,13.9,19.316,0.3,9.683,34.57,3.617,0,0.046,189.2,10.452,8.429,0.228,9.845,0.723,2.273,33.39,324.8,5.131,8.873,14.46,1.17,238.839,13.771,13.435,10.4,189.19,12.775,1654.6001,152.17,1094.5998,425.5074,18.6935,0,1012.2001,781.0399,229.89,0,56.3,24.67,195.3,68.99,1.9,91.7002,21.13,0.2,319.88,202.6,33.232,37.7,126.78,235.3,113.22,404.3,236.81,106.35,9.11,0,2,1.765,0.1,4.974,31.25,99.1,76.115,18,1.476,191.44,36.4,83.39,40.352,11.5,12.128,95.56,159.602,5.8,15.124,8.969,57.3,94.025,107.7,35.463,47.128,10.15,4.416,7.992,1.124,36,3.495,23.4,23.3,63.0264,0.1,2.011,145,0.1,11.3,4.7,59.92,1.2,25.05,2.3,255.19,957.1801,532.85,2.5,33.816,693.9,201.78,1819,412.14,25.91,179.8,52.34,64.04,3288.5,99.783,18.5,99.1,25.83,410.19,803,5.48,8.4,21.3,0.9,91,5.2,230.1,884.8,51.8,0,64.38,1.67,2.656,19.553,0,1.6,86.09,1.3,3.6,95.4,184.09,73.61,15.85,17.2,198.62,6.6,81,0.255,1.899,0.111
"Switzerland",104.8,158.6,2.6,27,1.084,3,3.999,2.1,1.369,0,0.024,79.6,9.523,9.778,1.94,2.765,23.285,146.18,31.34,124.6,0.907,1.096,21.79,1.19,216.219,9.071,4.912,26.1,11.82,0.822,205.5,11.07,96,6.7054,0.2946,1012.2001,0,131.07,162.83,0,80.3,355.52,53.8,124.57,53.5,659.0999,4.63,0.7,190.91,73.29,8.115,41.8,233.22,248.8,33.1,9.1,137.84,121.12,14.788,0,0.4,0.167,0,7.505,0.662,4.487,5.331,0.1,0.908,3.15,7.3,1.423,5.738,11,16.263,36.9,3.585,195.3,2.974,0.432,0.4,0.054,15.3,0.939,12.659,5.812,0.056,0.672,2.516,9.2,12.782,9.8,22.5,7.4255,9.1,0.24,145.3,0,0.8,0,4.403,0.2,3.407,0.5,36.86,168.98,31.46,32,0.412,194,213.93,140.6,150.71,31.03,39.5,17.08,568.68,534.3,4.061,0.9,63.2,11.34,5.63,79.5,11.12,4.3,249.2,0,5.3,13.1,36.9,308.9,0.68,0,9.82,12.82,0.996,0.953,9,0.7,35.73,0,0.8,3.9,16.53,94.47,29.15,15.4,162.97,0.2,16.62,0,0.824,0.1
"Spain",1111.6201,20.2,2.45,4.44,1.411,10.48,5.843,2.22,0.935,0,0.217,28.09,3.385,1.767,42.004,13.436,25.861,19.779,0.17,199.23,4.859,3.406,17.7,2.77,209.175,4.91,23.733,19.35,312.4,5.632,88.13,13.61,9.35,83.4632,3.6667,781.0399,131.07,0,228.14,0,13.31,20.4,16.58,0.71,7.99,222.17,7.08,0.11,2.93,123.34,11.37,5.84,10.37,31.16,5.95,87.91,20.51,35.1,13.142,0,0.01,0.721,0.84,3.156,0.809,11.083,1.519,5.24,0.25,43.08,38.28,2.928,26.313,4.5,39.647,2.23,8.166,223.85,3.632,3.851,6.41,31.533,11.62,28.355,1.866,2.392,0.42,1.017,0.3,1.11,1.181,23.58,2.22,0.21,0,1.412,94.67,2.49,0.29,20.06,21.482,0,4.35,0.04,151.82,230.85,59.74,525.34,2.968,740.05,30.13,498.04,127.45,70.55,40.17,26.89,16.19,1416.32,6.04,2.35,79.15,5.99,40.86,413.29,4.66,0.22,17.89,0,32.73,3.15,26.76,268.31,5.57,0,8.93,2.36,1.477,5.892,0,0,22.38,0,9.03,0.37,86.95,2.37,17.82,44.89,24.42,47.29,9.46,0,0.106,0
"Portugal",417.96,2.13,0.46,15.01,0.086,0.17,0.196,1.37,0.359,0,0,3.38,1.626,0.012,0.018,0.195,0.277,1.502,0.17,7.96,2.673,0.296,1.16,0.48,33.423,29.32,10.789,1,49.77,1.451,34.9,13.16,83.54,75.1006,3.2993,229.89,162.83,228.14,0,0,0.86,3.97,0.87,2.85,8.57,136.79,0.07,0,1.48,5.77,2.566,2.34,3.11,57.64,12.6,4.63,13.85,29.12,17.194,0,6.08,6.742,9,1.226,1.165,4.6,0,4.34,0.027,16.06,0.3,0.07,0.51,0.08,1.26,0.03,0.862,4.99,1.575,0.075,9.02,7.023,5.89,0.23,0.187,2.12,1.334,0.035,0.011,0,0.1,58.38,13.94,0.9273,0,0.432,38.23,9,0.02,9.04,0.23,0,0.158,0,3.76,2.79,0.45,0.16,9.596,144.62,35.25,254.61,3.9,1.89,4.89,1.05,12.45,159.6,0.044,0.11,11.49,4.05,0.76,0.1,0.15,0.1,1.57,0,0.3,0,0.33,135.85,9.06,0,0.25,3.2,0.008,1.724,0,9,1.85,9,9,0,10.02,0.42,6.4,27.8,1.08,0.01,2.93,0,0.026,0
"German Federal Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940.6759,41.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"German Democratic Republic",132.2,14.3,0,0,0,0.03,0.04,0.28,0.051,0,0.026,3.3,0,0.396,0,0,3.685,0.239,19.79,1.6,3.61,0.082,6.84,10.77,28.597,0,9,8.4,30.51,4.958,79.8,5.45,27,37.1672,1.6328,56.3,80.3,13.31,0.86,0,0,236.49,24.6,79.76,0,34.3,0.24,0,17.93,62.21,1.42,0,82.5,0,3.67,23.1,39.55,2.1,2.135,0,0,0.254,0,0.367,1.155,0.926,3.629,0,0,0,0,9.643,9,9,0.124,0,7.75,12,0,0.033,0,0.243,0.7,0,9.018,0.11,0.496,0.245,0.212,0,10.723,0,0,0.814,0,9,0,0,0,0,0,0,0.011,9,2.32,42.86,1.3,16.9,0.485,24,3.08,37.8,19.12,47.86,0,1.34,3.2,6.1,0.756,0,12.6,9.69,9,0,9,0,9.7,0,0,0,0,38.4,2.44,0,2.04,4.24,0.01,0.38,0,0,1.44,0,0,0,11.06,10.31,6.56,4.3,4.42,9,4.53,0,0.026,9
"Poland",298.18,149.67,0,1.44,0.535,0.12,3.489,0.35,0.176,0,0.332,0,0,0.31,0.017,0.153,4.973,1.194,29.02,9.3,0.006,0.094,5.85,33.6,163.99,0,9,0,5.75,2.242,605.69,39.38,235.77,86.8064,3.8136,24.67,355.52,20.4,3.97,0,236.49,0,471.33,169.14,58.02,28.97,3.26,0,12.29,13.95,0.186,50.96,90.35,508.8604,122.07,128.73,30.8,111.94,11.833,0,9,9,9,0.809,0.088,2.291,0.253,0,0.055,23.75,0,9.168,3.442,0,4.864,11.522,4.499,64.6,0,0.05,9,0.274,0.4,0,1.14,0.919,0.049,0.017,0.01,0,0.782,0,0,0.1327,0,0,0,0,0,0,0,0,0.13,0,26.88,43.04,6.99,56.3,6.742,51.86,16.38,100.75,31.01,23.14,0,5.73,1.08,34.5,11.493,0,24.6,2.26,10.2,35.8,9.21,0,39.36,0,0,0,27.83,294.34,9.36,0,14.55,13.78,0.188,9.865,0,0,10.02,0,0,24.81,31.69,23.12,3.49,20.7,100.29,0,13.6,0,0.05,9
"Austria",54.6,26,1.53,2.6,0.068,0.32,0.253,0.45,0.085,0,0,4.8,7.802,9.604,8.765,11.848,10.768,9.713,24.68,17.6,0.139,0.315,10.74,3.47,87.112,2.1,0.492,12.3,20.18,4.587,132.6,1.52,76.5,169.0722,7.4277,195.3,53.8,16.58,0.87,0,24.6,471.33,0,217.75,22.3,368.3,2.95,4.2,225.82,65.68,7.174,25.7,198.74,240.5,31.07,54.2,85.28,66.49,2.964,0,0,0.294,0,0.3,0.125,2,3.73,0.1,0.296,9.18,2.1,0.199,9.898,0.7,7.25,11.424,2.384,16.4,13.562,0.056,0.1,0.054,3.4,0.1,1.012,2.931,0,0.812,0.08,0.1,2.35,2.2,1.3,3.7827,0,0.096,54,0,9.5,9,0.2,0,0.493,0,5.28,25.27,18.83,39.3,3.626,91.3,24.32,116.8,30.22,5.94,23.1,12.41,8.4,35,6.952,1.3,19.1,4.7,4.44,19.2,2.38,0,26.2,0.9,28.5,1.2,5.8,216.8,5.09,0,0.63,0.44,1.169,1.621,0,0,1.28,0,9,0.5,28.26,9.43,10.36,0.6,9.18,1.1,2.07,0,0.261,0
"Hungary",94.47,4.96,0.13,9.93,0.399,0.11,0.302,0.28,0.098,0,9.042,3,0,1.46,0.192,1.086,1.056,0.35,1.91,1,0.068,0.344,25.04,7.19,147.581,0,9,0,19.57,0.723,63.23,0.21,32.77,62.9064,2.7636,68.99,124.57,0.71,2.85,0,79.76,169.14,217.75,0,0.24,7.45,1.78,0.12,161.32,21.62,2.213,14.11,107.11,279.7801,29.17,63.77,5.98,16.98,2.511,0,0,0,0,1.51,0,0,9.215,0,0.068,21.47,11.65,9,0.75,0,1.315,0.371,0.859,11.69,0.108,0.023,0,0.041,0,9.024,0.039,0.852,0.47,0.062,0.037,0,7.127,0,0,0.0327,0,9,0,0,0,0,0,9,0.322,0,6.42,33.67,5.43,58.49,7.761,1.8,6.8,86.63,2.66,11.03,34.25,6.31,5.61,57,9.019,0,20.61,0.2,10.23,0,0.02,0,25.32,0.44,0,0.72,0.1,67.85,3.81,0,1.18,2.84,0.142,0.382,0,0,2.63,0,0,13.64,20.4,1.57,0.75,6.2,26.79,9,0.01,0,0.154,9
"Czechoslovakia",38.7,42.4,0,0,0.761,0.38,0.113,10.03,9.329,0,0.077,3.6,1.778,1.603,0.757,0.701,0.522,2.187,5.11,14.1,0.018,0.303,1.49,14.98,34.85,0,9,0,6.42,9.991,21.5,16.78,18.1,10.0581,0.4419,1.9,53.5,7.99,8.57,0,0,58.02,22.3,0.24,0,11.2,1.58,0,124.14,10.16,5.219,0,21.62,0,2.39,18.5,13.59,27.29,0.931,0,0,0,0,0.783,0.091,0,9.901,0,0.265,0,0,9,0.63,0,2.67,9.34,2.781,32.4,0.111,0.05,0,0.125,1,0,3.267,1.07,0.216,0.115,0.048,0,3.28,0,0,1.0192,0,9.001,0,0,0,0,0,9,0.19,9,4.81,27.5,4.55,15.8,8.594,59,19.83,72.2,41.53,37.96,0,13.54,2.51,33.7,2.542,0,16.8,9.4,9.55,14.3,9.67,4.009,10.1,0,0,0,1,19.1,7.84,0,3.68,10.06,3.812,0.934,0,0,9.11,0,0,0,19.94,0.11,0.24,8.9,12.57,9,7.56,0,0.462,9
"Italy",653.2002,58.1,19.48,6.8,11.587,11.66,5.621,1.23,2.088,0,0.147,185.1,38.192,8.244,0.829,16.558,16.22,14.781,82.26,355.8,4.33,5.347,1.02,44.54,190.289,4.983,59.465,116.3,240.9,3.114,1465.4,100.8,362.2,69.449,3.0511,91.7002,659.0999,222.17,136.79,0,34.3,28.97,368.3,7.45,11.2,0,103.6,0.9,149.25,430.7,82.44,25.5,41.24,536.6,12.67,221.7,95.78,92.47,1.703,0,0.9,3.615,2.7,0.509,2.314,20.489,11.781,20.5,0.906,158.76,21.9,2.1,50.06,4,15.441,0.43,44.628,706.1,17.336,7.624,1.4,25.487,119.4,1.289,40.125,38.917,1.581,2.113,58.317,4.3,45.281,28.2,1.7,52.6664,0.2,5.375,752.8,0,12.3,12.9,0.156,0.9,11.867,0.9,99.54,457.77,7.47,610.1,36.704,966.7,82.41,1661.7,243.19,25.23,224.1,94.81,173.3,945.5001,72.477,9.1,616.9,7.6,42.07,85.5,10.89,8.3,9.3,0.1,35.1,11.6,61.7,16.6,45.52,0,47.97,22.8,3.063,2.367,0,9.9,22.71,0.1,1.4,74.4,115.85,65.39,1.56,157.3,57.38,1.1,35.8,0.1,1.77,0
"Malta",26.97,0.51,0.11,0.04,0,0,0.099,0.13,0.05,0,0,0.01,0.01,0,0.004,0,0.03,0,0.06,0.07,0.01,0,0.59,0.01,2.899,0,0.01,0.02,2.89,0.003,73.57,0.15,9.25,15.9589,0.7011,21.13,4.63,7.08,0.07,0,0.24,3.26,2.95,1.78,1.58,103.6,0,9,0.13,1.18,0.917,0.03,0.41,1.36,0.43,1.02,1.05,6.31,0.02,0,0,0.07,0,0,0,0.02,0,0,0,2.72,9,0,0,0,0.07,0,0.705,0.26,0,0.007,0,0,0,1.71,0.04,0,0,0,0,0.01,0.77,0,0,0.5518,0,0.08,3.43,0,0,9,0.05,0,0.018,0.07,0.56,1.88,0.84,24.89,0.175,0.08,2.95,0.04,0.27,0.12,0.52,0.24,1.16,4.6,0.67,0,1.4,0.71,0.3,2.37,0.16,0.17,12.93,0,2.55,9.01,0.25,17.12,0.8,0,1.09,0,0,0.14,0.03,0,0.01,0.01,0,9,0.02,1.57,0.14,3.73,7.96,0,3.93,0,0.001,0
"Albania",0.9,9.1,0,0,0,9,0,0,0,0,0,0,9,0,0,9,0.005,9,0,9,0,0,9,0,9.67,0,0,0,9.54,0,0.3,0,2.2,0.1916,0.0084,0.2,0.7,0.11,0,0,0,0,4.2,0.12,0,0.9,9,0,2.72,8.45,9,0,6.51,0,0.01,1.2,4.58,0.15,0,0,0,0,0,0,0,9,9,0,0,9,0,0,9,0,0,0,0.045,9,0,0,0,9.04,0,0,0,0,9.011,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0.04,15.6,0,9,2.5,10,0.13,0,0,0,0,0.3,9,0,0,0,9,0,0,0,15.2,0,0,0,0,2,9,0,0.04,0.03,0,0,0,0,0,0,0,0,0,9.01,1.18,0,0,9,9,0,0,0
"Yugoslavia",192.5,7.33,0,18.59,0.04,0.06,2.074,0.05,0.059,0,0,26.2,2.029,0.059,22.234,0.771,2.544,12.936,5.55,85.52,0.007,0.006,35.73,38.01,21.587,1.17,4.96,0.21,2.94,3.145,266.2,14.24,21.62,61.8143,2.7157,319.88,190.91,2.93,1.48,0,17.93,12.29,225.82,161.32,124.14,149.25,0.13,2.72,0,81.99,0.697,52.08,44.95,19.46,3.3,109.87,25.2,30.61,9.674,0,0,0.95,0,0.758,1.061,4.86,0.02,0.26,0,4.13,4.65,0.39,5.884,0.58,14.487,22.7,9.197,7.73,0.781,5.384,0,0.31,0.15,5.454,11.084,7.676,0.036,0.006,0.052,0,21.122,17.73,0.29,26.15,0,0.001,0,0,7.93,2.54,1.71,0,0.053,0,0.69,30.14,4.9,24.98,15.905,71.05,16.02,410.87,151.99,15.53,6.69,2.53,2.29,31.59,1.479,0,20.64,0.61,1.89,4.7,1.08,2.82,51.48,0.05,0,6.43,0.04,94.23,61.85,0,14.31,10.6,12.206,2.084,0.03,0.17,2.35,2.82,0,4.91,12.58,0.16,0.83,41.29,86.54,0.39,6.84,9,0.003,0
"Greece",217.6,0.99,0.09,9.1,0.073,0.02,0.045,0,0.036,0,0.003,0.84,0.002,1.91,0.008,0.044,1.992,0.217,1.34,0.92,0.071,0.001,5.47,0.02,52.459,0.04,1.326,4.74,65.87,7.389,175.29,21.63,62.33,114.8637,5.0462,202.6,73.29,123.34,5.77,0,62.21,13.95,65.68,21.62,10.16,430.7,1.18,8.45,81.99,0,43.656,0.17,88.71,169.15,36.2,98.4,34.37,43.2,6.419,0,0,0.146,9,0.01,0.027,0.13,0,0.16,0.41,30.08,0.09,0.18,8.995,0.36,13.998,0.27,3.395,66.81,12.852,0.001,0.11,1.369,48.17,0.481,0.758,2.917,1.102,0.02,0.163,0.49,0.941,1.88,0.15,7.6027,0,0.59,25.36,0,0,9,0.67,0,0.01,0.02,3.4,41,2.35,136.99,8.414,166.42,3.27,52.26,11.83,9.93,36.22,25.02,51.65,202.62,15.805,1.05,23.78,3.78,9.75,37.4,14.32,0.6,0.27,0.04,24.14,0.04,6.21,982.9,7.88,0,3.17,2.14,0.13,1.819,0,0,1.56,0.14,9.12,0.05,9.57,2.27,3.22,6.85,12.01,0,55.74,0,0.014,9
